Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, radixSortString, -1, 0.096496582031250000, 0.082641601562500000,  ,  , 6, 40.0, 1960
C, radixSortString, -1, 0.086120605468750000, 0.079833984375000000,  ,  , 6, 40.0, 2048
C, radixSortString, -1, 0.092224121093750000, 0.084228515625000000,  ,  , 6, 40.0, 2080
C, radixSortString, -1, 0.079711914062500000, 0.070251464843750000,  ,  , 7, 40.0, 2048
C, radixSortString, -1, 0.072814941406250000, 0.070739746093750000,  ,  , 7, 40.0, 2012
C, radixSortString, -1, 0.085205078125000000, 0.081420898437500000,  ,  , 7, 53.2, 2048
C, radixSortString, -1, 0.072387695312500000, 0.066406250000000000,  ,  , 7, 53.2, 1968
C, radixSortString, -1, 0.069946289062500000, 0.058349609375000000,  ,  , 9, 53.2, 1936
C, radixSortString, -1, 0.058227539062500000, 0.052368164062500000,  ,  , 9, 53.2, 2048
C, radixSortString, -1, 0.057617187500000000, 0.047302246093750000,  ,  , 9, 53.2, 1972
