Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, radixSortString, -1, 14.395446777343750000, 10.720092773437500000,  ,  , 3950, 44.8, 48192
C, radixSortString, -1, 15.820129394531250000, 11.896240234375000000,  ,  , 4024, 42.5, 48196
C, radixSortString, -1, 10.365234375000000000, 7.735961914062500000,  ,  , 3940, 42.0, 48196
C, radixSortString, -1, 12.085571289062500000, 9.114074707031250000,  ,  , 3902, 44.5, 48096
C, radixSortString, -1, 15.604858398437500000, 11.657104492187500000,  ,  , 3924, 45.2, 48196
C, radixSortString, -1, 11.816040039062500000, 8.719299316406250000,  ,  , 3976, 43.5, 48112
C, radixSortString, -1, 11.228210449218750000, 8.589721679687500000,  ,  , 3893, 44.8, 48192
C, radixSortString, -1, 9.202270507812500000, 6.822448730468750000,  ,  , 3847, 43.2, 48192
C, radixSortString, -1, 9.270080566406250000, 6.943542480468750000,  ,  , 3826, 42.8, 48100
C, radixSortString, -1, 9.021545410156250000, 6.691650390625000000,  ,  , 3811, 42.8, 48192
