Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, radixSortInt, -1, 0.041625976562500000, 0.027465820312500000,  ,  , 10, 40.0, 1668
C, radixSortInt, -1, 0.037353515625000000, 0.028442382812500000,  ,  , 10, 40.0, 1668
C, radixSortInt, -1, 0.035827636718750000, 0.027709960937500000,  ,  , 10, 40.0, 1668
C, radixSortInt, -1, 0.029541015625000000, 0.021728515625000000,  ,  , 10, 40.0, 1672
C, radixSortInt, -1, 0.024719238281250000, 0.018676757812500000,  ,  , 10, 40.0, 1560
C, radixSortInt, -1, 0.034484863281250000, 0.031433105468750000,  ,  , 8, 40.0, 1564
C, radixSortInt, -1, 0.035217285156250000, 0.029846191406250000,  ,  , 6, 40.0, 1700
C, radixSortInt, -1, 0.040832519531250000, 0.034790039062500000,  ,  , 6, 40.0, 1672
C, radixSortInt, -1, 0.030029296875000000, 0.023742675781250000,  ,  , 6, 40.0, 1668
C, radixSortInt, -1, 0.031921386718750000, 0.025878906250000000,  ,  , 6, 40.0, 1584
