Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, radixSortDouble, -1, 12.812805175781250000, 11.615051269531250000,  ,  , 848, 52.8, 24892
C, radixSortDouble, -1, 11.728515625000000000, 10.907714843750000000,  ,  , 717, 74.2, 24864
C, radixSortDouble, -1, 11.216918945312500000, 10.435180664062500000,  ,  , 780, 49.0, 24888
C, radixSortDouble, -1, 10.968444824218750000, 10.332824707031250000,  ,  , 707, 72.8, 24964
C, radixSortDouble, -1, 12.316345214843750000, 11.519409179687500000,  ,  , 706, 50.8, 24964
C, radixSortDouble, -1, 13.393249511718750000, 12.404296875000000000,  ,  , 788, 77.0, 24936
C, radixSortDouble, -1, 12.683715820312500000, 11.799194335937500000,  ,  , 735, 53.2, 24964
C, radixSortDouble, -1, 13.941162109375000000, 12.715881347656250000,  ,  , 775, 80.5, 24964
C, radixSortDouble, -1, 11.679748535156250000, 10.908264160156250000,  ,  , 729, 49.5, 24908
C, radixSortDouble, -1, 11.541503906250000000, 10.676086425781250000,  ,  , 716, 75.0, 24864
