Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, radixSortInt, -1, 1.806213378906250000, 1.727966308593750000,  ,  , 107, 50.8, 9104
C, radixSortInt, -1, 1.756652832031250000, 1.679382324218750000,  ,  , 102, 50.8, 9108
C, radixSortInt, -1, 1.772521972656250000, 1.687072753906250000,  ,  , 102, 50.8, 9144
C, radixSortInt, -1, 1.719848632812500000, 1.636596679687500000,  ,  , 103, 50.8, 9148
C, radixSortInt, -1, 1.673645019531250000, 1.591125488281250000,  ,  , 104, 50.8, 9116
C, radixSortInt, -1, 2.068054199218750000, 1.948974609375000000,  ,  , 121, 50.8, 9120
C, radixSortInt, -1, 1.739318847656250000, 1.634582519531250000,  ,  , 107, 50.8, 9084
C, radixSortInt, -1, 1.451293945312500000, 1.376037597656250000,  ,  , 119, 50.8, 9124
C, radixSortInt, -1, 1.697143554687500000, 1.609069824218750000,  ,  , 106, 67.0, 9144
C, radixSortInt, -1, 1.393310546875000000, 1.293151855468750000,  ,  , 134, 40.5, 9108
