Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, radixSortDouble, -1, 0.918334960937500000, 0.828918457031250000,  ,  , 104, 41.2, 3848
C, radixSortDouble, -1, 1.161926269531250000, 1.081726074218750000,  ,  , 66, 41.2, 3836
C, radixSortDouble, -1, 1.155578613281250000, 1.076232910156250000,  ,  , 67, 41.2, 3836
C, radixSortDouble, -1, 1.220092773437500000, 1.125793457031250000,  ,  , 69, 41.2, 3836
C, radixSortDouble, -1, 1.202941894531250000, 1.105895996093750000,  ,  , 66, 41.2, 3872
C, radixSortDouble, -1, 1.067138671875000000, 0.983337402343750000,  ,  , 72, 41.2, 3784
C, radixSortDouble, -1, 1.193725585937500000, 1.099304199218750000,  ,  , 67, 41.2, 3836
C, radixSortDouble, -1, 1.207580566406250000, 1.111389160156250000,  ,  , 71, 41.2, 3868
C, radixSortDouble, -1, 1.207397460937500000, 1.128173828125000000,  ,  , 69, 41.2, 3844
C, radixSortDouble, -1, 0.970764160156250000, 0.890625000000000000,  ,  , 79, 41.2, 3844
