Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, radixSortFloat, -1, 0.864746093750000000, 0.823852539062500000,  ,  , 48, 44.0, 2520
C, radixSortFloat, -1, 0.875122070312500000, 0.837097167968750000,  ,  , 49, 44.0, 2520
C, radixSortFloat, -1, 0.893127441406250000, 0.858703613281250000,  ,  , 52, 44.0, 2452
C, radixSortFloat, -1, 0.931762695312500000, 0.844482421875000000,  ,  , 58, 44.0, 2488
C, radixSortFloat, -1, 0.996215820312500000, 0.923767089843750000,  ,  , 58, 44.0, 2528
C, radixSortFloat, -1, 0.848571777343750000, 0.798828125000000000,  ,  , 50, 44.0, 2452
C, radixSortFloat, -1, 0.853637695312500000, 0.802001953125000000,  ,  , 49, 44.0, 2452
C, radixSortFloat, -1, 0.882507324218750000, 0.830139160156250000,  ,  , 49, 44.0, 2452
C, radixSortFloat, -1, 0.872680664062500000, 0.828186035156250000,  ,  , 50, 44.0, 2492
C, radixSortFloat, -1, 0.924316406250000000, 0.866943359375000000,  ,  , 50, 71.2, 2472
