Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortDouble, -1, 18.835754394531250000, 17.789245605468750000,  ,  , 1168, 72.8, 17144
C, mergeSortDouble, -1, 14.880065917968750000, 14.133239746093750000,  ,  , 1224, 72.2, 17160
C, mergeSortDouble, -1, 16.163879394531250000, 15.487854003906250000,  ,  , 1132, 72.2, 17160
C, mergeSortDouble, -1, 16.188842773437500000, 15.504943847656250000,  ,  , 1136, 72.8, 17104
C, mergeSortDouble, -1, 15.915222167968750000, 15.228332519531250000,  ,  , 1134, 72.5, 17100
C, mergeSortDouble, -1, 15.881652832031250000, 15.180297851562500000,  ,  , 1136, 72.2, 17116
C, mergeSortDouble, -1, 15.849975585937500000, 15.149353027343750000,  ,  , 1134, 71.5, 17256
C, mergeSortDouble, -1, 16.061584472656250000, 15.360778808593750000,  ,  , 1131, 71.8, 17260
C, mergeSortDouble, -1, 14.487060546875000000, 13.740600585937500000,  ,  , 1212, 73.0, 17264
C, mergeSortDouble, -1, 16.504211425781250000, 15.839050292968750000,  ,  , 1119, 72.8, 17164
