Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortString, -1, 10.492858886718750000, 9.788208007812500000,  ,  , 683, 49.8, 40612
C, mergeSortString, -1, 9.169982910156250000, 8.634765625000000000,  ,  , 673, 73.0, 40684
C, mergeSortString, -1, 9.401062011718750000, 8.983886718750000000,  ,  , 639, 49.8, 40756
C, mergeSortString, -1, 9.170288085937500000, 8.754394531250000000,  ,  , 646, 72.8, 40616
C, mergeSortString, -1, 9.476135253906250000, 9.078063964843750000,  ,  , 636, 50.0, 40632
C, mergeSortString, -1, 9.073181152343750000, 8.639709472656250000,  ,  , 652, 72.2, 40652
C, mergeSortString, -1, 9.344665527343750000, 8.932067871093750000,  ,  , 647, 49.8, 40756
C, mergeSortString, -1, 9.001892089843750000, 8.577758789062500000,  ,  , 652, 72.0, 40688
C, mergeSortString, -1, 9.268737792968750000, 8.856445312500000000,  ,  , 647, 50.0, 40616
C, mergeSortString, -1, 9.159118652343750000, 8.734924316406250000,  ,  , 656, 72.8, 40620
