Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortInt, -1, 5.294433593750000000, 4.985900878906250000,  ,  , 327, 40.5, 9152
C, mergeSortInt, -1, 6.622009277343750000, 6.208129882812500000,  ,  , 373, 40.5, 9172
C, mergeSortInt, -1, 5.172912597656250000, 4.883666992187500000,  ,  , 320, 68.2, 9260
C, mergeSortInt, -1, 4.953247070312500000, 4.743957519531250000,  ,  , 327, 41.0, 9172
C, mergeSortInt, -1, 4.799011230468750000, 4.616027832031250000,  ,  , 306, 41.0, 9292
C, mergeSortInt, -1, 4.819396972656250000, 4.610717773437500000,  ,  , 312, 41.0, 9264
C, mergeSortInt, -1, 4.406860351562500000, 4.196044921875000000,  ,  , 324, 67.8, 9264
C, mergeSortInt, -1, 4.672241210937500000, 4.482177734375000000,  ,  , 309, 42.2, 9256
C, mergeSortInt, -1, 4.752563476562500000, 4.561157226562500000,  ,  , 305, 42.2, 9220
C, mergeSortInt, -1, 4.726989746093750000, 4.511657714843750000,  ,  , 310, 42.2, 9228
