Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortDouble, -1, 17.509460449218750000, 16.439880371093750000,  ,  , 1160, 72.2, 17256
C, mergeSortDouble, -1, 15.980224609375000000, 15.328247070312500000,  ,  , 1068, 73.8, 17252
C, mergeSortDouble, -1, 15.193237304687500000, 14.529296875000000000,  ,  , 1060, 73.0, 17216
C, mergeSortDouble, -1, 17.133605957031250000, 16.341491699218750000,  ,  , 1098, 74.2, 17228
C, mergeSortDouble, -1, 17.421081542968750000, 16.638854980468750000,  ,  , 1118, 75.8, 17252
C, mergeSortDouble, -1, 15.636962890625000000, 14.986877441406250000,  ,  , 1056, 73.0, 17220
C, mergeSortDouble, -1, 15.537902832031250000, 14.879699707031250000,  ,  , 1059, 73.8, 17216
C, mergeSortDouble, -1, 15.526672363281250000, 14.886718750000000000,  ,  , 1058, 74.0, 17220
C, mergeSortDouble, -1, 13.493652343750000000, 12.776062011718750000,  ,  , 1152, 73.0, 17184
C, mergeSortDouble, -1, 14.746459960937500000, 14.081176757812500000,  ,  , 1087, 73.2, 17176
