Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortDouble, -1, 1.751281738281250000, 1.681152343750000000,  ,  , 109, 61.8, 2996
C, mergeSortDouble, -1, 1.735412597656250000, 1.573425292968750000,  ,  , 149, 47.8, 2984
C, mergeSortDouble, -1, 1.987182617187500000, 1.843750000000000000,  ,  , 114, 47.8, 3032
C, mergeSortDouble, -1, 2.045715332031250000, 1.918457031250000000,  ,  , 115, 47.8, 3028
C, mergeSortDouble, -1, 2.001159667968750000, 1.876403808593750000,  ,  , 114, 47.8, 2964
C, mergeSortDouble, -1, 1.828308105468750000, 1.672302246093750000,  ,  , 124, 47.8, 2940
C, mergeSortDouble, -1, 1.540222167968750000, 1.444213867187500000,  ,  , 122, 47.8, 3004
C, mergeSortDouble, -1, 1.781066894531250000, 1.707336425781250000,  ,  , 108, 47.8, 2940
C, mergeSortDouble, -1, 1.758850097656250000, 1.668579101562500000,  ,  , 113, 73.5, 2988
C, mergeSortDouble, -1, 1.485656738281250000, 1.411926269531250000,  ,  , 133, 47.2, 3024
