Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortString, -1, 0.084228515625000000, 0.044799804687500000,  ,  , 31, 53.0, 1744
C, mergeSortString, -1, 0.098205566406250000, 0.082885742187500000,  ,  , 10, 53.0, 1780
C, mergeSortString, -1, 0.117370605468750000, 0.111022949218750000,  ,  , 8, 53.0, 1776
C, mergeSortString, -1, 0.126953125000000000, 0.109863281250000000,  ,  , 7, 53.0, 1796
C, mergeSortString, -1, 0.118286132812500000, 0.102966308593750000,  ,  , 8, 53.0, 1892
C, mergeSortString, -1, 0.093750000000000000, 0.082519531250000000,  ,  , 7, 53.0, 1744
C, mergeSortString, -1, 0.116882324218750000, 0.096679687500000000,  ,  , 7, 53.0, 1824
C, mergeSortString, -1, 0.077758789062500000, 0.083557128906250000,  ,  , 7, 53.0, 1748
C, mergeSortString, -1, 0.200134277343750000, 0.181030273437500000,  ,  , 9, 53.0, 1764
C, mergeSortString, -1, 0.121826171875000000, 0.109680175781250000,  ,  , 8, 53.0, 1788
