Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibR, -1, 101.551330566406250000, 96.078735351562500000,  ,  , 8412, 70.8, 1644
C, fibR, -1, 104.608520507812500000, 100.126892089843750000,  ,  , 7687, 70.5, 1596
C, fibR, -1, 92.285705566406250000, 87.183715820312500000,  ,  , 8500, 72.0, 1648
C, fibR, -1, 89.854431152343750000, 84.748413085937500000,  ,  , 8595, 72.5, 1652
C, fibR, -1, 89.027587890625000000, 83.871765136718750000,  ,  , 8669, 73.5, 1640
C, fibR, -1, 97.990112304687500000, 93.182495117187500000,  ,  , 8070, 73.2, 1612
C, fibR, -1, 111.984558105468750000, 104.855102539062500000,  ,  , 8558, 74.5, 1512
C, fibR, -1, 105.545898437500000000, 98.763854980468750000,  ,  , 8694, 77.2, 1592
C, fibR, -1, 85.324279785156250000, 80.000671386718750000,  ,  , 8944, 74.8, 1508
C, fibR, -1, 94.245361328125000000, 89.319458007812500000,  ,  , 8279, 74.8, 1500
