Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibI, -1, 0.026855468750000000, 0.013916015625000000,  ,  , 7, 48.0, 1648
C, fibI, -1, 0.024291992187500000, 0.014099121093750000,  ,  , 7, 48.0, 1540
C, fibI, -1, 0.022888183593750000, 0.017761230468750000,  ,  , 7, 48.0, 1560
C, fibI, -1, 0.020812988281250000, 0.014526367187500000,  ,  , 5, 48.0, 1592
C, fibI, -1, 0.019775390625000000, 0.013916015625000000,  ,  , 4, 48.0, 1648
C, fibI, -1, 0.030761718750000000, 0.022888183593750000,  ,  , 4, 48.0, 1652
C, fibI, -1, 0.021240234375000000, 0.017028808593750000,  ,  , 3, 48.0, 1560
C, fibI, -1, 0.017272949218750000, 0.017883300781250000,  ,  , 3, 48.0, 1588
C, fibI, -1, 0.017211914062500000, 0.018310546875000000,  ,  , 3, 48.0, 1652
C, fibI, -1, 0.020935058593750000, 0.017944335937500000,  ,  , 3, 48.0, 1584
