Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibI, -1, 0.018493652343750000, 0.010375976562500000,  ,  , 10, 49.5, 1500
C, fibI, -1, 0.015502929687500000, 0.012573242187500000,  ,  , 5, 49.5, 1652
C, fibI, -1, 0.016052246093750000, 0.013244628906250000,  ,  , 4, 49.5, 1560
C, fibI, -1, 0.023681640625000000, 0.020019531250000000,  ,  , 5, 49.5, 1552
C, fibI, -1, 0.014953613281250000, 0.012878417968750000,  ,  , 5, 49.5, 1648
C, fibI, -1, 0.019226074218750000, 0.013549804687500000,  ,  , 5, 49.5, 1592
C, fibI, -1, 0.021850585937500000, 0.016052246093750000,  ,  , 5, 49.5, 1508
C, fibI, -1, 0.018615722656250000, 0.017028808593750000,  ,  , 5, 49.5, 1560
C, fibI, -1, 0.016418457031250000, 0.013916015625000000,  ,  , 5, 49.5, 1608
C, fibI, -1, 0.019042968750000000, 0.014648437500000000,  ,  , 5, 49.5, 1648
