Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, bubbleSortDouble, -1, 178.706665039062500000, 156.458740234375000000,  ,  , 19889, 68.5, 2240
C, bubbleSortDouble, -1, 176.146606445312500000, 162.574829101562500000,  ,  , 16786, 71.2, 2348
C, bubbleSortDouble, -1, 184.524963378906250000, 170.034484863281250000,  ,  , 17581, 72.0, 2192
C, bubbleSortDouble, -1, 173.420349121093750000, 159.234802246093750000,  ,  , 17575, 74.8, 2252
C, bubbleSortDouble, -1, 177.119262695312500000, 163.406005859375000000,  ,  , 16845, 72.0, 2280
C, bubbleSortDouble, -1, 176.822570800781250000, 163.269592285156250000,  ,  , 16722, 72.8, 2348
C, bubbleSortDouble, -1, 177.143859863281250000, 163.392333984375000000,  ,  , 16887, 72.2, 2252
C, bubbleSortDouble, -1, 180.841186523437500000, 165.769470214843750000,  ,  , 18244, 74.8, 2240
C, bubbleSortDouble, -1, 172.764221191406250000, 158.337890625000000000,  ,  , 17700, 75.2, 2188
C, bubbleSortDouble, -1, 177.157104492187500000, 163.510437011718750000,  ,  , 16799, 73.0, 2220
