Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, bubbleSortString, -1, 274.858703613281250000, 244.162780761718750000,  ,  , 29821, 71.5, 13104
C, bubbleSortString, -1, 262.058776855468750000, 236.720642089843750000,  ,  , 27562, 71.5, 13048
C, bubbleSortString, -1, 271.307983398437500000, 244.709167480468750000,  ,  , 28663, 72.5, 13044
C, bubbleSortString, -1, 259.681945800781250000, 234.543640136718750000,  ,  , 27272, 73.5, 13060
C, bubbleSortString, -1, 272.078552246093750000, 245.232910156250000000,  ,  , 28908, 73.8, 13076
C, bubbleSortString, -1, 267.208557128906250000, 241.436706542968750000,  ,  , 28033, 72.2, 13048
C, bubbleSortString, -1, 259.581909179687500000, 234.866271972656250000,  ,  , 27028, 74.8, 13072
C, bubbleSortString, -1, 270.271606445312500000, 244.000671386718750000,  ,  , 28173, 75.2, 13060
C, bubbleSortString, -1, 257.537292480468750000, 232.732604980468750000,  ,  , 27054, 74.0, 13044
C, bubbleSortString, -1, 274.674377441406250000, 248.477050781250000000,  ,  , 28240, 73.2, 13076
